tag,C,class_weight,decision_function_shape,tol,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,1.0,balanced,ovr,0.1,0.5,0,4,0.1431316042267051,0.2512530146139434,0.1431316042267051,0.1554528240706962,0.6457894173161511,0.45052395831062886
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,1.0,balanced,ovr,0.1,0.5,0,5,0.14320038443056224,0.2787233648363802,0.14320038443056224,0.1638184523899766,0.6408283212737337,0.43603331531229
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,1.0,balanced,ovr,0.1,0.5,3,1,0.0686839577329491,0.23678484448022952,0.0686839577329491,0.08302518408084025,0.5846485010644461,0.3878824207877515
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,1.0,balanced,ovr,0.1,0.5,3,2,0.06484149855907781,0.24124687964832656,0.06484149855907781,0.07321823566239864,0.5710854700409347,0.39359574186835533
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,1.0,balanced,ovr,0.1,0.5,3,3,0.06340057636887608,0.2498723688853961,0.06340057636887608,0.07081492003952765,0.5801961156409218,0.4017364212764794
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,1.0,balanced,ovr,0.1,0.5,3,4,0.06772334293948126,0.2481921006633851,0.06772334293948126,0.08487959430975717,0.5781370715148038,0.3680007086901081
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,1.0,balanced,ovr,0.1,0.5,3,5,0.06871696299855838,0.2401535116175891,0.06871696299855838,0.08089112618485866,0.5870892328007489,0.394127526829767
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=0,1.0,balanced,ovr,10.0,0.01,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=0,1.0,balanced,ovr,10.0,0.01,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=0,1.0,balanced,ovr,10.0,0.01,0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
