tag,n_estimators,learning_rate,max_depth,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,1,0.6857142857142857,0.7376610540435595,0.6857142857142857,0.6591778591778591,0.9315183667472389,0.864825347699227
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,,2,0.7596153846153846,0.7671365093240093,0.7596153846153846,0.73984133633555,0.9531838856400261,0.8874787941210033
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,,3,0.8557692307692307,0.864762855541544,0.8557692307692307,0.8442740231239948,0.9900684760333883,0.9759917647514146
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,,4,0.8076923076923077,0.8063992042440318,0.8076923076923077,0.7976153207257859,0.9669115809466687,0.9350870697716214
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,,5,0.7596153846153846,0.8034855769230769,0.7596153846153846,0.7410009861932939,0.9661428098151308,0.9324820804064335
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.01,10,5.0,,1,0.5142857142857142,0.6042176870748298,0.5142857142857142,0.42370179743451636,0.816678311993063,0.6656358034090325
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.01,10,5.0,,2,0.5192307692307693,0.6892423366107577,0.5192307692307693,0.4086154749006861,0.7948957570732597,0.6210152115490373
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.01,10,5.0,,3,0.5096153846153846,0.659046310832025,0.5096153846153846,0.393882503192848,0.7821576786360069,0.6130714417153129
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.01,10,5.0,,4,0.5288461538461539,0.5210782195332757,0.5288461538461539,0.4359157998863881,0.7556914638699985,0.5747300241012773
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.01,10,5.0,,5,0.47115384615384615,0.5098178137651822,0.47115384615384615,0.36689679508828443,0.7436731637354718,0.5539616312689423
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,,1,0.8,0.8014652014652015,0.8,0.796058992072281,0.9468245491624734,0.8977706585834031
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,,2,0.8365384615384616,0.8212769934468047,0.8365384615384616,0.8241489472587034,0.9669061049221009,0.9271027066809139
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,,3,0.9326923076923077,0.933953427524856,0.9326923076923077,0.9311807983682984,0.9937171989803569,0.9802444680122533
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,,4,0.8653846153846154,0.8721309650102219,0.8653846153846154,0.8653435849864421,0.9665754485929925,0.9303520981258167
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,,5,0.8269230769230769,0.8360677783754707,0.8269230769230769,0.8239136359672075,0.9666117524622613,0.9397517601975662
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.1,4,5.0,,1,0.5714285714285714,0.5614439324116743,0.5714285714285714,0.5508118148206742,0.8190495950960458,0.6783475001611282
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.1,4,5.0,,2,0.6153846153846154,0.591106856943961,0.6153846153846154,0.5861263736263737,0.8026474924952738,0.6581165113011646
