tag,iterations,depth,learning_rate,l2_leaf_reg,fold,accuracy,precision,recall,F1,auroc,prauc
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,100,4,0.01,1,1,0.6796349663784822,0.6853555058902208,0.6796349663784822,0.647142808018815,0.8947815255305722,0.7721976998222947
iterations=100 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5,100,10,0.01,5,5,0.8212397885631908,0.8266606332259148,0.8212397885631908,0.8186843921505021,0.9603312807337526,0.902392474121391
iterations=100 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,100,10,0.1,1,1,0.8967339097022095,0.8981102151842757,0.8967339097022095,0.8970797556207145,0.9881861182691005,0.9688754882174936
iterations=100 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,100,10,0.1,1,2,0.9116234390009607,0.9133721573024218,0.9116234390009607,0.9117946153794235,0.9897017284709261,0.9721040127527131
iterations=100 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,100,10,0.1,1,3,0.9169068203650336,0.9168460066489676,0.9169068203650336,0.9168452445984178,0.9904216330003556,0.9730515371301168
iterations=100 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,100,10,0.1,1,4,0.9116234390009607,0.9125739034832475,0.9116234390009607,0.911837480321708,0.9900179055490003,0.9727700115337573
iterations=100 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,100,10,0.1,1,5,0.8909178279673234,0.8927908644358036,0.8909178279673234,0.8911530213281709,0.9861303423393463,0.9621475404764299
iterations=100 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5,100,10,0.1,5,1,0.8885686839577329,0.8901343053565277,0.8885686839577329,0.8888478941832203,0.9861321964011888,0.9632734720893603
iterations=100 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5,100,10,0.1,5,2,0.8996157540826129,0.9015618879915209,0.8996157540826129,0.8998815939343143,0.9867967719599315,0.9645128566374221
iterations=100 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5,100,10,0.1,5,3,0.9039385206532181,0.9041572129610145,0.9039385206532181,0.903999273324381,0.9889156492693576,0.9691449359022638
iterations=100 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5,100,10,0.1,5,4,0.9034582132564841,0.904117069268322,0.9034582132564841,0.9033945696507604,0.9887452074556078,0.9689713949420928
iterations=100 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5,100,10,0.1,5,5,0.8832292167227295,0.8852417218644822,0.8832292167227295,0.8835217028885451,0.98407007134142,0.9571046096280077
iterations=500 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,500,4,0.01,1,1,0.7920268972142172,0.8003919697156169,0.7920268972142172,0.7857606961473743,0.9573409532462883,0.897397789488304
iterations=500 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,500,4,0.01,1,2,0.7953890489913544,0.8022010906858686,0.7953890489913544,0.7877863393281297,0.9593989259987863,0.8986498488352419
iterations=500 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,500,4,0.01,1,3,0.7944284341978867,0.8037515882148343,0.7944284341978867,0.786622787516893,0.9639940853790245,0.9055670274187649
iterations=500 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,500,4,0.01,1,4,0.7848222862632085,0.7931745998533005,0.7848222862632085,0.7760474498588069,0.9611659926596785,0.9015548853188359
iterations=500 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,500,4,0.01,1,5,0.7924074963959635,0.7994489880620023,0.7924074963959635,0.7861377450692888,0.9538386513384398,0.8902010718241097
iterations=500 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5,500,4,0.01,5,1,0.7853025936599424,0.7939078456094643,0.7853025936599424,0.7783997315273748,0.9548178414524064,0.89225631337646
iterations=500 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5,500,4,0.01,5,2,0.7905859750240154,0.7989026174883702,0.7905859750240154,0.7822125292990756,0.9573219749045577,0.8934541167434714
iterations=500 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5,500,4,0.01,5,3,0.7867435158501441,0.796648793792464,0.7867435158501441,0.778011776005736,0.9619603457591109,0.9009484554828072
iterations=500 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5,500,4,0.01,5,4,0.7804995196926032,0.7906245599763816,0.7804995196926032,0.770841958096157,0.9587153262860502,0.8953695449250726
