tag,n_estimators,learning_rate,max_depth,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.01,4,5.0,,2,0.5384615384615384,0.5712938402593575,0.5384615384615384,0.46780178776447434,0.6865710604229697,0.5671672581491148
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.01,4,5.0,,3,0.5096153846153846,0.4654382973348491,0.5096153846153846,0.41871471967087637,0.6883528265107213,0.5176329521429366
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.01,4,5.0,,4,0.5288461538461539,0.565576082781139,0.5288461538461539,0.43970281148589974,0.7126169811154331,0.5342007752154897
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.01,4,5.0,,5,0.46153846153846156,0.473057796633746,0.46153846153846156,0.4010641340641341,0.6632370979819064,0.5143403029219635
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,,1,0.7333333333333333,0.7339558045440397,0.7333333333333333,0.7305463020068225,0.9294139905530813,0.8632197398609684
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,,2,0.8076923076923077,0.810631555944056,0.8076923076923077,0.7999484004127967,0.9733800155239783,0.9297287980030309
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,,3,0.9519230769230769,0.9561519166452276,0.9519230769230769,0.9520378095406898,0.9944506922577099,0.9819137874382012
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,,4,0.8557692307692307,0.8623215326340327,0.8557692307692307,0.8574322097730911,0.9718148647973209,0.9461395848202626
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,,5,0.8365384615384616,0.8184435756551142,0.8365384615384616,0.824520559228006,0.9750792610517353,0.9552692090505152
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.01,10,5.0,,1,0.5142857142857142,0.5104308390022676,0.5142857142857142,0.44241327669899094,0.6500328507349296,0.5115505685164906
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.01,10,5.0,,2,0.5480769230769231,0.5890354800238521,0.5480769230769231,0.46978133202829564,0.6990894363443384,0.5775915262824677
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.01,10,5.0,,3,0.49038461538461536,0.44599358974358966,0.49038461538461536,0.3802707202570341,0.6969085819963013,0.522187552753742
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.01,10,5.0,,4,0.5288461538461539,0.5645225464190982,0.5288461538461539,0.4494678207364775,0.7039949620573976,0.5269199885437005
