tag,C,class_weight,decision_function_shape,tol,gamma,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,0.1,balanced,ovr,0.1,0.01,1,0.4015369836695485,0.5111745597601757,0.4015369836695485,0.38886513984370186,0.7406108857704483,0.5152063834654118
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1,0.1,balanced,ovr,1.0,0.1,2,0.6738712776176753,0.7614684231526205,0.6738712776176753,0.6750029318336721,0.918836367131988,0.8228123918555574
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1,0.1,balanced,ovr,1.0,0.1,3,0.7122958693563881,0.7796393415085859,0.7122958693563881,0.7143439900944607,0.9175738674137365,0.8283067268421623
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1,0.1,balanced,ovr,1.0,0.1,4,0.69164265129683,0.7791543303323957,0.69164265129683,0.6933886660447551,0.9101812703419008,0.8072706042810942
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1,0.1,balanced,ovr,1.0,0.1,5,0.67611725132148,0.7583402897498187,0.67611725132148,0.679242014640688,0.9083902072293342,0.8050381979863503
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=1,0.1,balanced,ovr,1.0,1.0,1,0.845821325648415,0.8726432771908129,0.845821325648415,0.8484135331478652,0.9688792096758756,0.9162282061921738
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=1,0.1,balanced,ovr,1.0,1.0,2,0.8602305475504323,0.8817648089450092,0.8602305475504323,0.862551338843637,0.9738187835334665,0.9157619129322542
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=1,0.1,balanced,ovr,1.0,1.0,3,0.8655139289145053,0.8851505711867589,0.8655139289145053,0.8679691862172003,0.974505733629314,0.9294896532385906
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=1,0.1,balanced,ovr,1.0,1.0,4,0.8477425552353506,0.8717526064701397,0.8477425552353506,0.849838110748234,0.9775865742874489,0.9321239924215168
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=1,0.1,balanced,ovr,1.0,1.0,5,0.8524747717443537,0.8732886279167581,0.8524747717443537,0.8547778600398643,0.9694314188652953,0.9065432302422445
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01,0.1,balanced,ovr,10.0,0.01,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01,0.1,balanced,ovr,10.0,0.01,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01,0.1,balanced,ovr,10.0,0.01,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01,0.1,balanced,ovr,10.0,0.01,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01,0.1,balanced,ovr,10.0,0.01,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.1,0.1,balanced,ovr,10.0,0.1,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.1,0.1,balanced,ovr,10.0,0.1,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.1,0.1,balanced,ovr,10.0,0.1,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.1,0.1,balanced,ovr,10.0,0.1,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.1,0.1,balanced,ovr,10.0,0.1,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
