tag,C,class_weight,decision_function_shape,tol,fold,accuracy,precision,recall,F1,auroc,prauc
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=10,1.0,balanced,ovo,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=1 | class_weight=None | decision_function_shape=ovr | tol=0.1,1.0,,ovr,0.1,1,0.45244956772334294,0.2926443765195265,0.45244956772334294,0.33803822678355677,0.6934122139240323,0.4625626882772866
C=1 | class_weight=None | decision_function_shape=ovr | tol=0.1,1.0,,ovr,0.1,2,0.45004803073967337,0.28511183327542394,0.45004803073967337,0.33283985190406373,0.6816475571473731,0.44514077532901275
C=1 | class_weight=None | decision_function_shape=ovr | tol=0.1,1.0,,ovr,0.1,3,0.44668587896253603,0.2810736363635132,0.44668587896253603,0.3295488274025988,0.6620583407913403,0.4157209392195799
C=1 | class_weight=None | decision_function_shape=ovr | tol=0.1,1.0,,ovr,0.1,4,0.4510086455331412,0.2885751409665956,0.4510086455331412,0.33238851210028375,0.691049532434791,0.4671113632341634
C=1 | class_weight=None | decision_function_shape=ovr | tol=0.1,1.0,,ovr,0.1,5,0.4435367611725132,0.28156534953606427,0.4435367611725132,0.32848949731815646,0.6735074835917628,0.438958066357665
C=1 | class_weight=None | decision_function_shape=ovr | tol=1,1.0,,ovr,1.0,1,0.45244956772334294,0.29227981270331854,0.45244956772334294,0.33806455702368426,0.6831523284827788,0.46559047228982037
C=1 | class_weight=None | decision_function_shape=ovr | tol=1,1.0,,ovr,1.0,2,0.45004803073967337,0.28392771373679154,0.45004803073967337,0.3330328188427526,0.6797763960928169,0.4598041026375019
C=1 | class_weight=None | decision_function_shape=ovr | tol=1,1.0,,ovr,1.0,3,0.44668587896253603,0.2792437775639738,0.44668587896253603,0.3299309694592679,0.6380041171656822,0.38787266094813333
C=1 | class_weight=None | decision_function_shape=ovr | tol=1,1.0,,ovr,1.0,4,0.4510086455331412,0.28665914847155327,0.4510086455331412,0.3325845930011784,0.6359502403582015,0.37233208896546766
C=1 | class_weight=None | decision_function_shape=ovr | tol=1,1.0,,ovr,1.0,5,0.4435367611725132,0.27932794543746636,0.4435367611725132,0.3288712470921233,0.6229666638856468,0.3614045873284103
C=1 | class_weight=None | decision_function_shape=ovr | tol=10,1.0,,ovr,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=1 | class_weight=None | decision_function_shape=ovr | tol=10,1.0,,ovr,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=1 | class_weight=None | decision_function_shape=ovr | tol=10,1.0,,ovr,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=1 | class_weight=None | decision_function_shape=ovr | tol=10,1.0,,ovr,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=1 | class_weight=None | decision_function_shape=ovr | tol=10,1.0,,ovr,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=1 | class_weight=None | decision_function_shape=ovo | tol=0.1,1.0,,ovo,0.1,1,0.45244956772334294,0.2926443765195265,0.45244956772334294,0.33803822678355677,0.7222133424489541,0.4555717819743459
C=1 | class_weight=None | decision_function_shape=ovo | tol=0.1,1.0,,ovo,0.1,2,0.45004803073967337,0.28511183327542394,0.45004803073967337,0.33283985190406373,0.7220793203497748,0.4414428766785105
C=1 | class_weight=None | decision_function_shape=ovo | tol=0.1,1.0,,ovo,0.1,3,0.44668587896253603,0.2810736363635132,0.44668587896253603,0.3295488274025988,0.708772809245354,0.42347356557018484
C=1 | class_weight=None | decision_function_shape=ovo | tol=0.1,1.0,,ovo,0.1,4,0.4510086455331412,0.2885751409665956,0.4510086455331412,0.33238851210028375,0.7368184115676811,0.46302652828542
C=1 | class_weight=None | decision_function_shape=ovo | tol=0.1,1.0,,ovo,0.1,5,0.4435367611725132,0.28156534953606427,0.4435367611725132,0.32848949731815646,0.7135697054675537,0.43479338354186964
C=1 | class_weight=None | decision_function_shape=ovo | tol=1,1.0,,ovo,1.0,1,0.45244956772334294,0.29227981270331854,0.45244956772334294,0.33806455702368426,0.7264244199095033,0.4665154381409399
C=1 | class_weight=None | decision_function_shape=ovo | tol=1,1.0,,ovo,1.0,2,0.45004803073967337,0.28392771373679154,0.45004803073967337,0.3330328188427526,0.7186503416197755,0.4612204558242655
C=1 | class_weight=None | decision_function_shape=ovo | tol=1,1.0,,ovo,1.0,3,0.44668587896253603,0.2792437775639738,0.44668587896253603,0.3299309694592679,0.6941196360641193,0.39069572439721506
C=1 | class_weight=None | decision_function_shape=ovo | tol=1,1.0,,ovo,1.0,4,0.4510086455331412,0.28665914847155327,0.4510086455331412,0.3325845930011784,0.7049912397361148,0.38999892266394354
C=1 | class_weight=None | decision_function_shape=ovo | tol=1,1.0,,ovo,1.0,5,0.4435367611725132,0.27932794543746636,0.4435367611725132,0.3288712470921233,0.6994980261335174,0.3908274362909508
C=1 | class_weight=None | decision_function_shape=ovo | tol=10,1.0,,ovo,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=1 | class_weight=None | decision_function_shape=ovo | tol=10,1.0,,ovo,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=1 | class_weight=None | decision_function_shape=ovo | tol=10,1.0,,ovo,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=1 | class_weight=None | decision_function_shape=ovo | tol=10,1.0,,ovo,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=1 | class_weight=None | decision_function_shape=ovo | tol=10,1.0,,ovo,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,10.0,balanced,ovr,0.1,1,0.35830931796349663,0.4960773931222206,0.35830931796349663,0.33724622579336516,0.6812314068995133,0.4557174784839985
