tag,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.1,10,0.5,0.5,1,0.7670509125840538,0.7644827978158354,0.7670509125840538,0.7638926925442302,0.9316078465876417,0.8380324188861117
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=1 | colsample_bytree=0.5,100,0.1,20,1.0,0.5,4,0.7478386167146974,0.7443353843226559,0.7478386167146974,0.7442835494709944,0.9259834668666538,0.8224946754970625
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=1 | colsample_bytree=0.5,100,0.1,20,1.0,0.5,5,0.7284959154252764,0.7225965466725945,0.7284959154252764,0.7238196618641778,0.9181320124959775,0.8036934578757291
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=1 | colsample_bytree=1,100,0.1,20,1.0,1.0,1,0.9183477425552353,0.918663892827374,0.9183477425552353,0.9183895068462942,0.9918550454262453,0.9779606583361847
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=1 | colsample_bytree=1,100,0.1,20,1.0,1.0,2,0.920749279538905,0.9214291854195664,0.920749279538905,0.9209797807445025,0.9914058095389396,0.9765164143387329
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=1 | colsample_bytree=1,100,0.1,20,1.0,1.0,3,0.9173871277617676,0.9179196264655568,0.9173871277617676,0.9176008394089047,0.9906844037810274,0.9753705004671372
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=1 | colsample_bytree=1,100,0.1,20,1.0,1.0,4,0.9101825168107589,0.9101454729564713,0.9101825168107589,0.9100466908230932,0.9903152285607071,0.9728392784120274
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=1 | colsample_bytree=1,100,0.1,20,1.0,1.0,5,0.9125420470927439,0.9126253782107653,0.9125420470927439,0.9123870283006295,0.9891871705691556,0.969178297999627
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.5,10,0.5,0.5,1,0.7728146013448607,0.7718063973579846,0.7728146013448607,0.7722062187787657,0.9358744683464945,0.8514495107035654
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.5,10,0.5,0.5,2,0.7704130643611912,0.7704046287152683,0.7704130643611912,0.7702314486328287,0.9324734960617531,0.8464524317973129
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.5,10,0.5,0.5,3,0.7718539865513929,0.7698036344296564,0.7718539865513929,0.7702385812693515,0.932455645352521,0.8379272764433084
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.5,10,0.5,0.5,4,0.7704130643611912,0.77136437592824,0.7704130643611912,0.7707202776814143,0.9324104052618789,0.8368675225958365
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.5,10,0.5,0.5,5,0.762614127823162,0.7621867613809951,0.762614127823162,0.7621969700794189,0.9262255660263876,0.823536171342908
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=0.5 | colsample_bytree=1,100,0.5,10,0.5,1.0,1,0.914505283381364,0.9146303679422672,0.914505283381364,0.9145293529054913,0.9905883063660724,0.9752145747273813
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=0.5 | colsample_bytree=1,100,0.5,10,0.5,1.0,2,0.9173871277617676,0.9177318153865355,0.9173871277617676,0.9175233467990074,0.9900751676385484,0.9727695779952095
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=0.5 | colsample_bytree=1,100,0.5,10,0.5,1.0,3,0.9135446685878963,0.9139891823906444,0.9135446685878963,0.9137410735707601,0.9903539504796437,0.973216551621545
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=0.5 | colsample_bytree=1,100,0.5,10,0.5,1.0,4,0.9130643611911623,0.9135941729091864,0.9130643611911623,0.9131397827155867,0.9889307628396529,0.9700484994645462
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=0.5 | colsample_bytree=1,100,0.5,10,0.5,1.0,5,0.897164824603556,0.8973488058780237,0.897164824603556,0.8971644608444511,0.9876067955497942,0.965996263867021
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=1 | colsample_bytree=0.5,100,0.5,10,1.0,0.5,1,0.7804995196926032,0.780180455865893,0.7804995196926032,0.7803087799541144,0.9368947066380497,0.8531733810467871
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=1 | colsample_bytree=0.5,100,0.5,10,1.0,0.5,2,0.7718539865513929,0.7721146889703174,0.7718539865513929,0.7718935056603534,0.9353260771252437,0.8512782810105362
